MODULE,INSTRUCTION,BRANCH,LINE,METHOD
meecrowave-core,65.01,46.36,64.40,56.56
tika-core,48.63,49.92,51.55,50.28
apacheds-kerberos-codec,73.79,44.70,71.72,71.19
artemis-commons,29.41,31.24,33.61,35.46
wicket-util,39.55,37.63,39.83,40.98
spark-core_2.11,23.25,17.03,35.77,22.13
mcf-core,8.29,6.56,8.27,9.27
deltaspike-core-impl,69.86,61.23,72.39,84.10
