Project,Time
artemis-commons-2.5.0,1065802
artemis-commons-2.5.0,1027217
artemis-commons-2.5.0,1033991
deltaspike,45443
deltaspike,40717
deltaspike,42805
directory-server,46355
directory-server,39967
directory-server,40712
manifoldcf,27815
manifoldcf,25715
manifoldcf,25629
openwebbeans-meecrowave,36907
openwebbeans-meecrowave,35925
openwebbeans-meecrowave,36242
tika,26727
tika,25989
tika,26167
wicket,79035
wicket,115728
wicket,79346
