Tool,Execution,Project,Time
cc,1,meecrowave-core-1.2.0,6726
cg,1,meecrowave-core-1.2.0,5959
cc,2,meecrowave-core-1.2.0,5637
cg,2,meecrowave-core-1.2.0,7291
cc,3,meecrowave-core-1.2.0,7895
cg,3,meecrowave-core-1.2.0,6235
cc,4,meecrowave-core-1.2.0,6727
cg,4,meecrowave-core-1.2.0,5745
cc,5,meecrowave-core-1.2.0,6508
cg,5,meecrowave-core-1.2.0,7061
cc,6,meecrowave-core-1.2.0,8779
cg,6,meecrowave-core-1.2.0,6578
cc,7,meecrowave-core-1.2.0,6551
cg,7,meecrowave-core-1.2.0,5922
cc,8,meecrowave-core-1.2.0,7290
cg,8,meecrowave-core-1.2.0,7001
cc,9,meecrowave-core-1.2.0,6642
cg,9,meecrowave-core-1.2.0,6128
cc,10,meecrowave-core-1.2.0,6788
cg,10,meecrowave-core-1.2.0,6491
cc,1,wicket-util-8.0.0,21302
cg,1,wicket-util-8.0.0,7249
cc,2,wicket-util-8.0.0,21394
cg,2,wicket-util-8.0.0,9877
cc,3,wicket-util-8.0.0,22163
cg,3,wicket-util-8.0.0,7254
cc,4,wicket-util-8.0.0,22341
cg,4,wicket-util-8.0.0,7151
cc,5,wicket-util-8.0.0,21085
cg,5,wicket-util-8.0.0,6453
cc,6,wicket-util-8.0.0,20345
cg,6,wicket-util-8.0.0,7964
cc,7,wicket-util-8.0.0,22510
cg,7,wicket-util-8.0.0,7953
cc,8,wicket-util-8.0.0,22468
cg,8,wicket-util-8.0.0,7874
cc,9,wicket-util-8.0.0,20864
cg,9,wicket-util-8.0.0,5926
cc,10,wicket-util-8.0.0,20478
cg,10,wicket-util-8.0.0,6135
cc,1,spark-core_2.11-2.4.0,107864
cg,1,spark-core_2.11-2.4.0,81470
cc,2,spark-core_2.11-2.4.0,100165
cg,2,spark-core_2.11-2.4.0,85062
cc,3,spark-core_2.11-2.4.0,95244
cg,3,spark-core_2.11-2.4.0,90313
cc,4,spark-core_2.11-2.4.0,100114
cg,4,spark-core_2.11-2.4.0,83853
cc,5,spark-core_2.11-2.4.0,92915
cg,5,spark-core_2.11-2.4.0,81637
cc,6,spark-core_2.11-2.4.0,104628
cg,6,spark-core_2.11-2.4.0,97382
cc,7,spark-core_2.11-2.4.0,103854
cg,7,spark-core_2.11-2.4.0,85795
cc,8,spark-core_2.11-2.4.0,96984
cg,8,spark-core_2.11-2.4.0,90997
cc,9,spark-core_2.11-2.4.0,96685
cg,9,spark-core_2.11-2.4.0,80936
cc,10,spark-core_2.11-2.4.0,97110
cg,10,spark-core_2.11-2.4.0,90925
cc,1,artemis-commons-2.5.0,26472
cg,1,artemis-commons-2.5.0,6483
cc,2,artemis-commons-2.5.0,26648
cg,2,artemis-commons-2.5.0,6486
cc,3,artemis-commons-2.5.0,26931
cg,3,artemis-commons-2.5.0,6423
cc,4,artemis-commons-2.5.0,26296
cg,4,artemis-commons-2.5.0,6331
cc,5,artemis-commons-2.5.0,26587
cg,5,artemis-commons-2.5.0,6168
cc,6,artemis-commons-2.5.0,25911
cg,6,artemis-commons-2.5.0,6004
cc,7,artemis-commons-2.5.0,26727
cg,7,artemis-commons-2.5.0,6699
cc,8,artemis-commons-2.5.0,277574
cg,8,artemis-commons-2.5.0,7002
cc,9,artemis-commons-2.5.0,27105
cg,9,artemis-commons-2.5.0,7344
cc,10,artemis-commons-2.5.0,41942
cg,10,artemis-commons-2.5.0,6178
cc,1,tika-core-1.17,6388
cg,1,tika-core-1.17,7609
cc,2,tika-core-1.17,6609
cg,2,tika-core-1.17,7544
cc,3,tika-core-1.17,6146
cg,3,tika-core-1.17,7475
cc,4,tika-core-1.17,6290
cg,4,tika-core-1.17,7303
cc,5,tika-core-1.17,6180
cg,5,tika-core-1.17,7387
cc,6,tika-core-1.17,6585
cg,6,tika-core-1.17,7542
cc,7,tika-core-1.17,6694
cg,7,tika-core-1.17,7546
cc,8,tika-core-1.17,6407
cg,8,tika-core-1.17,7507
cc,9,tika-core-1.17,6765
cg,9,tika-core-1.17,7780
cc,10,tika-core-1.17,6283
cg,10,tika-core-1.17,7969
cc,1,mcf-core-2.9,7071
cg,1,mcf-core-2.9,7465
cc,2,mcf-core-2.9,6865
cg,2,mcf-core-2.9,7551
cc,3,mcf-core-2.9,6398
cg,3,mcf-core-2.9,7330
cc,4,mcf-core-2.9,6306
cg,4,mcf-core-2.9,7288
cc,5,mcf-core-2.9,6650
cg,5,mcf-core-2.9,7826
cc,6,mcf-core-2.9,7026
cg,6,mcf-core-2.9,7917
cc,7,mcf-core-2.9,7201
cg,7,mcf-core-2.9,8707
cc,8,mcf-core-2.9,7248
cg,8,mcf-core-2.9,9216
cc,9,mcf-core-2.9,7379
cg,9,mcf-core-2.9,8389
cc,10,mcf-core-2.9,7356
cg,10,mcf-core-2.9,8742
cg,1,apacheds-kerberos-codec-2.0.0-M25,10123
cg,2,apacheds-kerberos-codec-2.0.0-M25,7861
cg,3,apacheds-kerberos-codec-2.0.0-M25,12964
cg,4,apacheds-kerberos-codec-2.0.0-M25,10709
cg,5,apacheds-kerberos-codec-2.0.0-M25,11473
cg,6,apacheds-kerberos-codec-2.0.0-M25,11438
cg,7,apacheds-kerberos-codec-2.0.0-M25,11585
cg,8,apacheds-kerberos-codec-2.0.0-M25,11091
cg,9,apacheds-kerberos-codec-2.0.0-M25,11840
cg,10,apacheds-kerberos-codec-2.0.0-M25,11580
cc,1,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,29569
cc,2,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,18643
cc,3,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,28130
cc,4,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,27750
cc,5,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,16632
cc,6,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,20829
cc,7,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,28759
cc,8,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,28061
cc,9,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,27320
cc,10,apacheds-kerberos-codec-2.0.0-M25-SNAPSHOT.jar,27834
cc,1,deltaspike-core-impl-1.8.1,5665
cg,1,deltaspike-core-impl-1.8.1,5018
cc,2,deltaspike-core-impl-1.8.1,5831
cg,2,deltaspike-core-impl-1.8.1,5108
cc,3,deltaspike-core-impl-1.8.1,5632
cg,3,deltaspike-core-impl-1.8.1,5970
cc,4,deltaspike-core-impl-1.8.1,5792
cg,4,deltaspike-core-impl-1.8.1,5257
cc,5,deltaspike-core-impl-1.8.1,6157
cg,5,deltaspike-core-impl-1.8.1,5904
cc,6,deltaspike-core-impl-1.8.1,11265
cg,6,deltaspike-core-impl-1.8.1,5499
cc,7,deltaspike-core-impl-1.8.1,7718
cg,7,deltaspike-core-impl-1.8.1,7772
cc,8,deltaspike-core-impl-1.8.1,10051
cg,8,deltaspike-core-impl-1.8.1,6688
cc,9,deltaspike-core-impl-1.8.1,9094
cg,9,deltaspike-core-impl-1.8.1,7246
cc,10,deltaspike-core-impl-1.8.1,8795
cg,10,deltaspike-core-impl-1.8.1,7035
