cwe,className,tool,warning
327,DefaultSensitiveStringCodec$BlowfishAlgorithm,RVSec,TP
321,DefaultSensitiveStringCodec$BlowfishAlgorithm,RVSec,TP
916,DefaultSensitiveStringCodec$PBKDF2Algorithm,RVSec,TP
327,DefaultCipherService,RVSec,TP
321,DefaultCipherService,RVSec,TP
1240,Des3CbcSha1KdEncryption,RVSec,TP
321,Des3CbcSha1KdEncryption,RVSec,TP
327,Des3CbcSha1KdEncryption,RVSec,TP
1204,Des3CbcSha1KdEncryption,RVSec,TP
327,DesCbcCrcEncryption,RVSec,TP
1204,DesCbcCrcEncryption,RVSec,TP
321,DesCbcCrcEncryption,RVSec,TP
328,DesCbcMd5Encryption,RVSec,TP
327,DesCbcMd5Encryption,RVSec,TP
1204,DesCbcMd5Encryption,RVSec,TP
321,DesCbcMd5Encryption,RVSec,TP
327,DesStringToKey,RVSec,TP
1024,DesStringToKey,RVSec,TP
321,DesStringToKey,RVSec,TP
325,RandomKeyFactory,RVSec,TP
341,Meecrowave$ValueTransformers$1,RVSec,TP
327,Meecrowave$ValueTransformers$1,RVSec,TP
1024,CryptoStreamUtils$,RVSec,TP
327,CryptoStreamUtils$,RVSec,TP
327,CryptoStreamUtils$CryptoParams,RVSec,TP
1391,SecurityManager$$anonfun$2,RVSec,TP
319,SSLOptions.liftedTree1$1,RVSec,TP
326,TestUtils$,RVSec,TP
328,EncryptionEngine,RVSec,FP
327,ArcFourHmacMd5Encryption,RVSec,FN
1204,AesCtsSha1Encryption,RVSec,FN
1240,ArcFourHmacMd5Encryption,RVSec,FN
321,ArcFourHmacMd5Encryption,RVSec,FN
321,HmacMd5Checksum,RVSec,FN
328,ManifoldCF,RVSec,FN
1391,ManifoldCF,RVSec,FN
798,ManifoldCF,RVSec,FN
916,ManifoldCF,RVSec,FN
1240,ManifoldCF,RVSec,FN
327,DefaultSensitiveStringCodec$BlowfishAlgorithm,CogniCrypt,TP
321,DefaultSensitiveStringCodec$BlowfishAlgorithm,CogniCrypt,TP
916,DefaultSensitiveStringCodec$PBKDF2Algorithm,CogniCrypt,TP
327,DefaultCipherService,CogniCrypt,TP
321,DefaultCipherService,CogniCrypt,TP
