cwe,className,tool,warning
1204,AesCtsSha1Encryption,CogniCrypt,TP
1240,ArcFourHmacMd5Encryption,CogniCrypt,TP
327,ArcFourHmacMd5Encryption,CogniCrypt,TP
321,ArcFourHmacMd5Encryption,CogniCrypt,TP
321,Des3CbcSha1KdEncryption,CogniCrypt,TP
327,Des3CbcSha1KdEncryption,CogniCrypt,TP
1204,Des3CbcSha1KdEncryption,CogniCrypt,TP
327,DesCbcCrcEncryption,CogniCrypt,TP
1204,DesCbcCrcEncryption,CogniCrypt,TP
321,DesCbcCrcEncryption,CogniCrypt,TP
327,DesCbcMd5Encryption,CogniCrypt,TP
1204,DesCbcMd5Encryption,CogniCrypt,TP
321,DesCbcMd5Encryption,CogniCrypt,TP
327,DesStringToKey,CogniCrypt,TP
1024,DesStringToKey,CogniCrypt,TP
321,DesStringToKey,CogniCrypt,TP
321,HmacMd5Checksum,CogniCrypt,TP
325,RandomKeyFactory,CogniCrypt,TP
916,ManifoldCF,CogniCrypt,TP
1240,ManifoldCF,CogniCrypt,TP
328,ManifoldCF,CogniCrypt,TP
341,Meecrowave$ValueTransformers$1,CogniCrypt,TP
327,Meecrowave$ValueTransformers$1,CogniCrypt,TP
1024,CryptoStreamUtils$,CogniCrypt,TP
327,CryptoStreamUtils$CryptoParams,CogniCrypt,TP
1391,SecurityManager$$anonfun$2,CogniCrypt,TP
319,SSLOptions.liftedTree1$1,CogniCrypt,TP
326,TestUtils$,CogniCrypt,TP
325,DefaultSensitiveStringCodec$PBKDF2Algorithm,CogniCrypt,FP
321,AesCtsSha1Encryption,CogniCrypt,FP
327,ManifoldCF,CogniCrypt,FP
325,ManifoldCF,CogniCrypt,FP
1240,Des3CbcSha1KdEncryption,CogniCrypt,FN
328,DesCbcMd5Encryption,CogniCrypt,FN
1391,ManifoldCF,CogniCrypt,FN
798,ManifoldCF,CogniCrypt,FN
327,CryptoStreamUtils$,CogniCrypt,FN
327,DefaultSensitiveStringCodec$BlowfishAlgorithm,CryptoGuard,TP
321,DefaultSensitiveStringCodec$BlowfishAlgorithm,CryptoGuard,TP
327,DefaultCipherService,CryptoGuard,TP
1204,AesCtsSha1Encryption,CryptoGuard,TP
327,Des3CbcSha1KdEncryption,CryptoGuard,TP
1204,Des3CbcSha1KdEncryption,CryptoGuard,TP
327,DesCbcCrcEncryption,CryptoGuard,TP
1204,DesCbcCrcEncryption,CryptoGuard,TP
327,DesCbcMd5Encryption,CryptoGuard,TP
1204,DesCbcMd5Encryption,CryptoGuard,TP
327,DesStringToKey,CryptoGuard,TP
1391,ManifoldCF,CryptoGuard,TP
798,ManifoldCF,CryptoGuard,TP
328,ManifoldCF,CryptoGuard,TP
341,Meecrowave$ValueTransformers$1,CryptoGuard,TP
327,Meecrowave$ValueTransformers$1,CryptoGuard,TP
338,RandomUtil,CryptoGuard,FP
338,ConnectorPool,CryptoGuard,FP
338,Database,CryptoGuard,FP
338,PartitionwiseSampledRDD,CryptoGuard,FP
338,RDD,CryptoGuard,FP
338,SizeEstimator,CryptoGuard,FP
338,Utils$,CryptoGuard,FP
338,XORShiftRandom,CryptoGuard,FP
338,XORShiftRandom$,CryptoGuard,FP
916,DefaultSensitiveStringCodec$PBKDF2Algorithm,CryptoGuard,FN
321,DefaultCipherService,CryptoGuard,FN
327,ArcFourHmacMd5Encryption,CryptoGuard,FN
1024,DesStringToKey,CryptoGuard,FN
325,RandomKeyFactory,CryptoGuard,FN
1240,ArcFourHmacMd5Encryption,CryptoGuard,FN
1240,Des3CbcSha1KdEncryption,CryptoGuard,FN
328,DesCbcMd5Encryption,CryptoGuard,FN
321,ArcFourHmacMd5Encryption,CryptoGuard,FN
321,Des3CbcSha1KdEncryption,CryptoGuard,FN
321,DesCbcCrcEncryption,CryptoGuard,FN
321,DesCbcMd5Encryption,CryptoGuard,FN
321,DesStringToKey,CryptoGuard,FN
321,HmacMd5Checksum,CryptoGuard,FN
916,ManifoldCF,CryptoGuard,FN
1240,ManifoldCF,CryptoGuard,FN
328,ManifoldCF,CryptoGuard,FN
1024,CryptoStreamUtils$,CryptoGuard,FN
327,CryptoStreamUtils$,CryptoGuard,FN
1391,SecurityManager$$anonfun$2,CryptoGuard,FN
319,SSLOptions.liftedTree1$1,CryptoGuard,FN
326,TestUtils$,CryptoGuard,FN
327,CryptoStreamUtils$CryptoParams,CryptoGuard,FN
327,DefaultCipherService,CryLogger,TP
329,DefaultCipherService,CryLogger,TP
1391,DefaultCipherService,CryLogger,TP
327,ManifoldCF,CryLogger,TP
328,ManifoldCF,CryLogger,TP
329,ManifoldCF,CryLogger,TP
798,ManifoldCF,CryLogger,TP
1391,ManifoldCF,CryLogger,TP
327,Meecrowave$ValueTransformers$1,CryLogger,TP
329,Meecrowave$ValueTransformers$1,CryLogger,TP
1391,Meecrowave$ValueTransformers$1,CryLogger,TP
328,ManifoldCF,CryLogger,FP
327,ManifoldCF,CryLogger,FP
1391,ManifoldCF,CryLogger,FP
329,ManifoldCF,CryLogger,FP
798,ManifoldCF,CryLogger,FP
338,SessionIdGeneratorBase,CryLogger,FP
327,CryptoParser,CryLogger,FP
327,DefaultCipherService,CryLogger,FP
1391,DefaultCipherService,CryLogger,FP
329,DefaultCipherService,CryLogger,FP
327,DefaultSensitiveStringCodec$BlowfishAlgorithm,CryLogger,FN
321,DefaultSensitiveStringCodec$BlowfishAlgorithm,CryLogger,FN
916,DefaultSensitiveStringCodec$PBKDF2Algorithm,CryLogger,FN
321,DefaultCipherService,CryLogger,FN
1204,AesCtsSha1Encryption,CryLogger,FN
1240,ArcFourHmacMd5Encryption,CryLogger,FN
327,ArcFourHmacMd5Encryption,CryLogger,FN
321,ArcFourHmacMd5Encryption,CryLogger,FN
1240,Des3CbcSha1KdEncryption,CryLogger,FN
321,Des3CbcSha1KdEncryption,CryLogger,FN
327,Des3CbcSha1KdEncryption,CryLogger,FN
1204,Des3CbcSha1KdEncryption,CryLogger,FN
327,DesCbcCrcEncryption,CryLogger,FN
1204,DesCbcCrcEncryption,CryLogger,FN
321,DesCbcCrcEncryption,CryLogger,FN
328,DesCbcMd5Encryption,CryLogger,FN
327,DesCbcMd5Encryption,CryLogger,FN
1204,DesCbcMd5Encryption,CryLogger,FN
321,DesCbcMd5Encryption,CryLogger,FN
327,DesStringToKey,CryLogger,FN
1024,DesStringToKey,CryLogger,FN
321,DesStringToKey,CryLogger,FN
321,HmacMd5Checksum,CryLogger,FN
325,RandomKeyFactory,CryLogger,FN
328,ManifoldCF,CryLogger,FN
341,Meecrowave$ValueTransformers$1,CryLogger,FN
1024,CryptoStreamUtils$,CryLogger,FN
327,CryptoStreamUtils$,CryLogger,FN
327,CryptoStreamUtils$CryptoParams,CryLogger,FN
1391,SecurityManager$$anonfun$2,CryLogger,FN
319,SSLOptions.liftedTree1$1,CryLogger,FN
326,TestUtils$,CryLogger,FN
