cwe,className,tool,Warning
327,InsecureAsymmetricCipherABMC1,RVSec,TP
327,BrokenCryptoABMC1,RVSec,TP
1391,PredictablePBEPasswordBBCase1,RVSec,TP
329,StaticInitializationVectorBBCase1,RVSec,TP
338,UntrustedPRNGCase1,RVSec,TP
798,StaticSaltsABICase2,RVSec,TP
328,BrokenHashABICase2,RVSec,TP
327,Crypto6,RVSec,TP
327,EcbInSymmCryptoBBCase1,RVSec,TP
327,EcbInSymmCryptoABICase1,RVSec,TP
337,PredictableSeedsABHCase4,RVSec,TP
327,BrokenCryptoABMC4,RVSec,TP
1391,CredentialInStringABMC1,RVSec,TP
329,StaticInitializationVectorABICase1,RVSec,TP
327,Crypto2,RVSec,TP
328,BrokenHashABMC2,RVSec,TP
798,StaticSaltsABICase1,RVSec,TP
329,StaticInitializationVectorABICase2,RVSec,TP
337,PredictableSeedsABHCase2,RVSec,TP
327,BrokenCryptoBBCase1,RVSec,TP
327,BrokenCryptoABMC3,RVSec,TP
327,BrokenCryptoBBCase5,RVSec,TP
337,PredictableSeedsABICase2,RVSec,TP
329,StaticInitializationVectorABMC1,RVSec,TP
327,InsecureAsymmetricCipherABICase1,RVSec,TP
328,BrokenHashABICase4,RVSec,TP
328,BrokenHashABMC1,RVSec,TP
328,BrokenHashBBCase1,RVSec,TP
916,LessThan1000IterationPBEABMC1,RVSec,TP
327,BrokenCryptoBBCase2,RVSec,TP
327,EcbInSymmCryptoABICase2,RVSec,TP
341,PredictableCryptographicKeyABICase1,RVSec,TP
327,BrokenCryptoABICase1,RVSec,TP
798,StaticSaltsABICase3,RVSec,TP
341,PredictableCryptographicKeyABHCase2,RVSec,TP
328,BrokenHashABICase11,RVSec,TP
328,CryptoHash3,RVSec,TP
1391,CredentialInStringABICase2,RVSec,TP
916,LessThan1000IterationPBEABICase2,RVSec,TP
341,PredictableCryptographicKeyABICase3,RVSec,TP
1391,PredictablePBEPasswordBBCase2,RVSec,TP
327,BrokenCryptoABICase9,RVSec,TP
337,CryptoPredictableSeed2,RVSec,TP
1391,PredictablePBEPasswordABICase2,RVSec,TP
327,EcbInSymmCryptoABMC1,RVSec,TP
328,BrokenHashABICase8,RVSec,TP
337,CryptoPredictableSeed1,RVSec,TP
327,BrokenCryptoABICase14,RVSec,TP
328,BrokenHashABICase9,RVSec,TP
1391,CredentialInStringABICase1,RVSec,TP
327,BrokenCryptoBBCase3,RVSec,TP
337,PredictableSeedsBBCase1,RVSec,TP
1391,PredictablePBEPasswordABMC1,RVSec,TP
327,BrokenCryptoABICase3,RVSec,TP
327,BrokenCryptoBBCase4,RVSec,TP
328,BrokenHashBBCase4,RVSec,TP
328,CryptoHash2,RVSec,TP
327,BrokenCryptoABICase10,RVSec,TP
327,BrokenCryptoABMC5,RVSec,TP
337,PredictableSeedsABICase1,RVSec,TP
916,LessThan1000IterationPBEABICase1,RVSec,TP
1240,BrokenMacBBCase2,RVSec,TP
337,PredictableSeedsABICase3,RVSec,TP
327,Crypto5,RVSec,TP
327,InsecureAsymmetricCipherABICase2,RVSec,TP
916,LessThan1000IterationPBEABHCase1,RVSec,TP
328,BrokenHashABICase7,RVSec,TP
327,BrokenCryptoABICase11,RVSec,TP
328,BrokenHashABICase1,RVSec,TP
798,StaticSaltsABMC1,RVSec,TP
916,LessThan1000IterationPBEABICase3,RVSec,TP
327,BrokenCryptoABICase13,RVSec,TP
328,BrokenHashABICase6,RVSec,TP
328,BrokenHashABICase10,RVSec,TP
327,BrokenCryptoABICase2,RVSec,TP
916,LessThan1000IterationPBEBBCase1,RVSec,TP
337,PredictableSeedsABICase4,RVSec,TP
327,BrokenCryptoABICase8,RVSec,TP
337,PredictableSeedsBBCase2,RVSec,TP
798,CryptoStaticSalt1,RVSec,TP
1391,PredictablePBEPasswordABICase1,RVSec,TP
327,BrokenCryptoABICase6,RVSec,TP
327,EcbInSymmCryptoABICase3,RVSec,TP
328,CryptoHash1,RVSec,TP
327,BrokenCryptoABICase5,RVSec,TP
1391,CryptoPredictablePBE,RVSec,TP
328,BrokenHashABICase12,RVSec,TP
327,BrokenCryptoABICase15,RVSec,TP
327,InsecureAsymmetricCipherABICase3,RVSec,TP
1391,CredentialInStringBBCase1,RVSec,TP
328,BrokenHashABMC4,RVSec,TP
