activemq-artemis  ,artemis-commons
deltaspike  ,deltaspike/core/impl
directory-server  ,kerberos-codec
manifoldcf  ,framework/core
openwebbeans-meecrowave  ,meecrowave-core
spark  ,core
tika  ,tika-core
tomee  ,container/openejb-core
wicket,wicket-util
